wavelength,l,m,s
360,0.0000057847692,0.0000028668801,0.00055652102
365,0.000010066054,0.0000052222845,0.0009971652
370,0.000017573344,0.000009478397,0.0017868172
375,0.000030700872,0.000017146026,0.0032008452
380,0.0000539099192,0.0000306333457,0.005922390918
385,0.000087694408,0.000050706943,0.009687000818
390,0.000162919792,0.000095930557,0.01840991918
395,0.0002893112,0.0001764721,0.033248022
400,0.000524790792,0.000323851257,0.06229987918
405,0.000829342,0.000534035,0.10118564
410,0.001510978,0.00104188,0.19043468
415,0.002609054,0.001941095,0.34092766
420,0.004444796,0.003754926,0.59278992
425,0.00716118592,0.00738882857,0.9540558018
430,0.00986846,0.01259283,1.27225792
435,0.012246516,0.019453374,1.490201872
440,0.014494008,0.027826778,1.604150492
445,0.016346012,0.037424782,1.63678332
450,0.018249552,0.049184767,1.627151402
455,0.02058526,0.06351796,1.60143262
460,0.0239628,0.0803924,1.53265944
465,0.02931138,0.09912591,1.40310142
470,0.038519208,0.120654174,1.182311048
475,0.05235866,0.14667038,0.95667258
480,0.07095931192,0.1775084936,0.7464507818
485,0.093199314,0.2123315427,0.56579484
490,0.12241881,0.256420569,0.427128276
495,0.16032166,0.31416578,0.32440006
500,0.20853818,0.38771343,0.2497504
505,0.27201212,0.48378568,0.19493386
510,0.3468621,0.59127105,0.14525924
515,0.43298278,0.70725482,0.10256294
520,0.5213940548,0.8166210235,0.07184914082
525,0.6005044392,0.9021298055,0.05256695918
530,0.672777772,0.968962662,0.038711312
535,0.7352819687,1.016351307,0.027399088
540,0.78962824,1.04690639,0.01863946
545,0.8365295,1.06155586,0.01230388
550,0.8767863408,1.061725514,0.008034249082
555,0.9120578501,1.049685837,0.005279649082
560,0.94166578,1.02511638,0.00358098
565,0.9637308401,0.986966335,0.002525049082
570,0.97845794,0.93699834,0.00192822
575,0.9847601,0.87614013,0.00165276
580,0.9821819399,0.806527715,0.001515030918
585,0.96913648,0.72984119,0.00128548
590,0.94628958,0.64993068,0.00101002
595,0.91452178,0.57068146,0.0009182
600,0.8715234,0.494965,0.00073456
605,0.81946832,0.42390018,0.00055092
610,0.757135848,0.359273058,0.000312188
615,0.687721408,0.301781408,0.000220368
620,0.611531098,0.2506259706,0.000174458
625,0.5278418,0.20402405,0.00009182
630,0.44459844,0.163431665,0.00004590999082
635,0.370415156,0.130239501,0.000027546
640,0.303077964,0.102568644,0.000018364
645,0.242181672,0.079395877,0.000009182
650,0.1891699,0.06053105,0
655,0.1452639,0.04559667,0
660,0.10915658,0.03376643,0
665,0.080049048,0.024521514,0
670,0.05762068,0.01751098,0
675,0.04186904,0.01264228,0
680,0.030746554,0.009226049,0
685,0.021601172,0.006445106,0
690,0.014893936,0.004430103,0
695,0.0103887628,0.0030844199,0
700,0.007448511032,0.002209482692,0
705,0.005318548983,0.001577663409,0
710,0.003796888069,0.001126287,0
715,0.002694683091,0.0007993350809,0
720,0.001901167865,0.0005639513999,0
725,0.001343709838,0.000398590303,0
730,0.0009442283942,0.0002800905627,0
735,0.0006556940699,0.0001945013034,0
740,0.0004525033757,0.0001342279728,0
745,0.0003121401643,0.00009259144981,0
750,0.0002178989002,0.00006463626107,0
755,0.0001539818852,0.00004567629357,0
760,0.0001089494301,0.00003231814185,0
765,0.0000769909226,0.0000228381581,0
770,0.00005447472305,0.0000161590664,0
775,0.0000384954693,0.00001141907452,0
780,0.00002721920199,0.000008074147578,0
785,0.00001924773465,0.000005709537262,0
790,0.00001355639609,0.000004021292481,0
795,0.000009547239234,0.000002832038389,0
800,0.000006723814836,0.000001994513696,0
805,0.000004735305971,0.000001404653847,0
810,0.000003334942534,0.0000009892580516,0
815,0.00000234858697,0.0000006966711724,0
820,0.000001654088573,0.0000004906593215,0
825,0.00000116490553,0.0000003455509223,0
830,0.0000008204073842,0.0000002433609847,0
